telegram.vendor.ptb_urllib3.urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None)) after connection broken by 'ConnectTimeoutError(<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x04BE71F0>, 'Connection to api.telegram.org timed out. (connect timeout=5.0)')': /bot893005100:AAE-jeed2SLHp75uud6oPJZZWv4Yt7M8m-Y/getMe
telegram.vendor.ptb_urllib3.urllib3.connectionpool - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None)) after connection broken by 'ConnectTimeoutError(<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x04BE72D0>, 'Connection to api.telegram.org timed out. (connect timeout=5.0)')': /bot893005100:AAE-jeed2SLHp75uud6oPJZZWv4Yt7M8m-Y/getMe
telegram.vendor.ptb_urllib3.urllib3.connectionpool - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None)) after connection broken by 'ConnectTimeoutError(<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x04BE7370>, 'Connection to api.telegram.org timed out. (connect timeout=5.0)')': /bot893005100:AAE-jeed2SLHp75uud6oPJZZWv4Yt7M8m-Y/getMe
telegram.vendor.ptb_urllib3.urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None)) after connection broken by 'ConnectTimeoutError(<telegram.vendor.ptb_urllib3.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x04887050>, 'Connection to api.telegram.org timed out. (connect timeout=5.0)')': /bot893005100:AAE-jeed2SLHp75uud6oPJZZWv4Yt7M8m-Y/getMe
telegram.vendor.ptb_urllib3.urllib3.connectionpool - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None)) after connection broken by 'ConnectTimeoutError(<telegram.vendor.ptb_urllib3.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x04887150>, 'Connection to api.telegram.org timed out. (connect timeout=5.0)')': /bot893005100:AAE-jeed2SLHp75uud6oPJZZWv4Yt7M8m-Y/getMe
telegram.vendor.ptb_urllib3.urllib3.connectionpool - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None)) after connection broken by 'ConnectTimeoutError(<telegram.vendor.ptb_urllib3.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x048871F0>, 'Connection to api.telegram.org timed out. (connect timeout=5.0)')': /bot893005100:AAE-jeed2SLHp75uud6oPJZZWv4Yt7M8m-Y/getMe
telegram.vendor.ptb_urllib3.urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None)) after connection broken by 'ConnectTimeoutError(<telegram.vendor.ptb_urllib3.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x03D96FB0>, 'Connection to api.telegram.org timed out. (connect timeout=5.0)')': /bot893005100:AAE-jeed2SLHp75uud6oPJZZWv4Yt7M8m-Y/getMe
telegram.vendor.ptb_urllib3.urllib3.connectionpool - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None)) after connection broken by 'ConnectTimeoutError(<telegram.vendor.ptb_urllib3.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x03DA90D0>, 'Connection to api.telegram.org timed out. (connect timeout=5.0)')': /bot893005100:AAE-jeed2SLHp75uud6oPJZZWv4Yt7M8m-Y/getMe
telegram.vendor.ptb_urllib3.urllib3.connectionpool - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None)) after connection broken by 'ConnectTimeoutError(<telegram.vendor.ptb_urllib3.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x03DA9170>, 'Connection to api.telegram.org timed out. (connect timeout=5.0)')': /bot893005100:AAE-jeed2SLHp75uud6oPJZZWv4Yt7M8m-Y/getMe
telegram.vendor.ptb_urllib3.urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None)) after connection broken by 'ConnectTimeoutError(<telegram.vendor.ptb_urllib3.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x04776F70>, 'Connection to api.telegram.org timed out. (connect timeout=5.0)')': /bot893005100:AAE-jeed2SLHp75uud6oPJZZWv4Yt7M8m-Y/getMe
telegram.vendor.ptb_urllib3.urllib3.connectionpool - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None)) after connection broken by 'ConnectTimeoutError(<telegram.vendor.ptb_urllib3.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0478B070>, 'Connection to api.telegram.org timed out. (connect timeout=5.0)')': /bot893005100:AAE-jeed2SLHp75uud6oPJZZWv4Yt7M8m-Y/getMe
